practices,social,study vs product,system perception,system use,value judgements
couple (8),ate (2),everything (4),look (3),messages (28),mum (3)
said (8),far (2),today (4),mentioned (3),sense (28),list (3)
used (8),lot (2),fruit (4),kids (3),whatever (28),purpose (3)
easy (7),shop (2),thursday (4),see (3),cool (27),interesting (3)
two (7),came (2),convenience (4),problem (3),wait (27),choose (3)
lazy (7),humans (2),without (4),day (3),overtalking (27),example (3)
getting (7),late (2),slightly (4),completely (3),people (27),amazing (3)
enough (7),pissed (2),done (4),automated (3),saw (27),wait (3)
often (7),delivering (2),world (4),otherwise (3),needed (27),deliveries (3)
five (7),robot (2),might (4),lemons (3),items (26),anyway (3)
weekly (7),guy (2),loads (4),tangerines (3),ordering (26),door (3)
year (7),traffic (2),breads (4),give (3),another (26),give (3)
whats (7),problems (2),milk (4),thinking (3),next (26),chose (3)
sense (7),useful (2),find (4),contacted (3),phone (26),bought (3)
end (7),finished (2),depot (4),else (3),couple (25),take (3)
tesco (7),housemates (2),rather (4),work (3),problem (25),thinking (3)
went (7),offered (2),oranges (4),end (3),using (25),product (3)
amazon (7),diets (2),based (4),name (3),enough (24),rather (3)
give (7),explain (2),new (4),occurred (3),trying (24),texts (3)
plan (7),little (2),looking (4),connection (3),fact (24),doesnt (3)
first (7),message (2),tell (4),that (3),find (24),quality (3)
spaghetti (7),future (2),changed (4),chose (3),used (24),pretty (3)
rice (7),show (2),paper (4),app (3),whether (23),overall (3)
items (6),week (2),tuesday (4),send (3),feel (23),sent (3)
making (6),used (2),particularly (4),future (3),scales (23),checked (3)
try (6),bin (2),part (4),ordering (3),week (23),lot (3)
mind (6),notice (2),minutes (4),havent (3),send (23),items (3)
whatever (6),part (2),four (4),ones (3),for (23),better (3)
almost (6),technology (2),experience (4),nuts (3),shopping (23),let (3)
person (6),decades (2),werent (4),apart (3),whats (23),idea (3)
type (6),weight (2),come (4),smooth (3),theyre (22),empty (3)
crazy (6),reasons (2),try (4),options (3),idea (22),meant (3)
else (6),keen (2),longer (3),inaudible (3),today (22),last (3)
knew (6),overtalking (2),larger (3),usually (3),everything (22),top (3)
shops (6),found (2),sign (3),email (3),app (22),end (3)
price (6),scales (2),useful (3),satisfied (3),type (21),sending (3)
