practices,social,study vs product,system perception,system use,value judgements
constantly (2),,bananas (1),eat (1),still (14),last (4)
rather (2),,able (1),enjoyed (1),find (14),attention (4)
routine (2),,fruit (1),ones (1),set (14),can (4)
else (2),,attention (1),weve (1),couple (13),future (4)
basically (2),,depot (1),general (1),buy (13),anyway (4)
went (2),,pay (1),savoury (1),name (13),deliveries (4)
speaking (2),,coming (1),description (1),questions (13),someone (4)
drink (2),,ideally (1),breakfast (1),today (13),lets (4)
dinner (2),,every (1),products (1),sort (13),today (4)
hour (2),,given (1),cover (1),easy (13),suppose (4)
back (2),,trends (1),theres (1),scale (13),checking (4)
question (2),,amount (1),find (1),delivered (13),send (4)
scale (2),,analyse (1),list (1),emails (13),better (4)
amount (2),,persons (1),cereals (1),we (13),whatever (4)
realise (2),,single (1),nothing (1),idea (12),based (4)
wine (2),,theyre (1),made (1),sense (12),interesting (4)
people (2),,supermarkets (1),many (1),weird (12),find (4)
drive (2),,pretty (1),sweet (1),number (12),difference (4)
future (2),,house (1),partly (1),ask (12),visit (4)
anyway (2),,technology (1),problem (1),many (12),brown (4)
deliveries (2),,sitting (1),oats (1),list (12),lot (4)
pretty (2),,person (1),pasta (1),came (12),working (4)
place (2),,data (1),wed (1),everything (12),able (4)
ahead (2),,convenience (1),wasyes (1),message (12),left (4)
period (2),,needed (1),gone (1),noticed (12),worked (4)
sugar (2),,hour (1),worked (1),manual (12),might (4)
instead (2),,nine (1),apart (1),items (11),set (4)
study (2),,shortit (1),scales (1),tried (11),beginning (4)
bother (2),,study (1),box (1),if (11),happen (4)
diet (2),,slot (1),inaudible (1),enough (11),expected (4)
certain (2),,particular (1),satisfied (1),information (11),usually (4)
sure (2),,slotduring (1),up (1),week (11),manual (4)
plan (2),,question (1),onion (1),wrong (11),fridge (4)
meals (2),,lazy (1),say (1),definitely (11),box (4)
repeat (2),,live (1),took (1),run (11),packaging (4)
obviously (2),,us (1),use (1),fact (11),ones (4)
talking (2),,made (1),used (1),looking (11),aware (4)
veg (2),,habits (1),way (1),havent (11),problem (4)
getting (2),,shopping (1),cheaper (1),using (11),choice (3)
healthier (2),,society (1),normally (1),new (11),gone (3)
run (2),,never (1),planned (1),weight (11),terms (3)
cooking (2),,happened (1),meal (1),liked (11),later (3)
in (2),,cool (1),longer (1),ordering (11),item (3)
on (2),,expensive (1),automatic (1),price (11),run (3)
problem (2),,advanced (1),mentioning (1),around (10),instead (3)
breakfast (2),,around (1),consultant (1),sent (10),normally (3)
weight (2),,weve (1),issues (1),better (10),element (3)
take (2),,stock (1),your (1),come (10),technology (3)
thought (2),,america (1),dealt (1),sometimes (10),apart (3)
possibly (2),,buy (1),choose (1),feel (10),still (3)
online (2),,whereas (1),happened (1),minutes (10),pasta (3)
somewhere (2),,cultural (1),router (1),inaudible (10),cancelled (3)
roast (2),,wondered (1),change (1),home (10),email (3)
used (2),,grew (1),routers (1),lets (10),issue (3)
penne (2),,slightly (1),connected (1),theyre (10),not (3)
way (2),,time (1),speed (1),second (10),for (3)
thinking (2),,wed (1),price (1),onions (10),checked (3)
family (2),,next (1),property (1),when (9),monzo (3)
today (2),,cook (1),says (1),whether (9),next (3)
found (2),,times (1),product (1),example (9),liked (3)
glutenfree (2),,penne (1),higher (1),computer (9),comes (3)
chose (2),,fusilli (1),rate (1),couldnt (9),available (3)
week (2),,changed (1),specific (1),normally (9),depends (3)
noticed (2),,mixing (1),whole (1),whole (9),went (3)
first (2),,enough (1),nuts (1),reason (9),every (3)
around (2),,log (1),onehour (1),funny (9),forget (3)
ended (1),,started (1),timeout (1),thinking (9),monitoring (3)
items (1),,figure (1),confirmed (1),texts (9),rely (3)
month (1),,therell (1),smart (1),give (9),trust (3)
if (1),,foodstuffs (1),cookie (1),able (9),read (3)
tomatobased (1),,basic (1),abstracting (1),checking (9),sending (3)
better (1),,rest (1),sharing (1),eat (8),fresh (3)
saying (1),,andbutter (1),data (1),forgot (8),were (3)
fattening (1),,butter (1),differently (1),realised (8),milk (3)
suppose (1),,dream (1),ask (1),trying (8),looked (3)
staple (1),,alright (1),ivactually (1),automatically (8),friend (3)
doesnt (1),,world (1),engaged (1),online (8),everything (3)
yummy (1),,work (1),process (1),this (8),come (3)
